Month,Account,Cost,,,,,,,,
6,EddieV's-tip,50,cash,,,,,,,
7,costco,281.99,crypto.com,,,,,,,
7,Gas-n-smokes,31.21,cash,,,,,,,
7,American-express,4000,Cap-one,,,,,,,
7,grauls,43.17,cash,,,,,,,
7,Chick-fill-a,14.52,cash,,,,,,,
7,ellie,800,cash,,,,,,,
7,Cap-one-fee,3,crypto.com-4-trx,,,,,,,
7,crypto.com-fee,9,4capOne-tysn,,,,,,,
7,Liberty-gas-westSt,84.95,Mnt-cc,21.787G @ 3.899/g,,,,,,
8,mcds,8.68,cash,,,,,,,
10,mcds,8.68,cash,,,,,,,
10,lunch,12.46,cash,,,,,,,
10,lunch,5.28,cash,,,,,,,
11,lunch,16.94,cash,,,,,,,
11,lunch,5.28,cash,,,,,,,
12,Cap-one-fee,3,4capOne-lesbrg,,,,,,,
12,crypto.com-fee,12,crypto.com,,,,,,,
12,Liberty-gas-lesbrg,88.39,crypto.com,23.266Gs @ 3.799/g,,,,,,
12,walgreens,509.96,cash,500 card n m-n-ms,,,,,,
12,sassy,100,cash,,,,,,,
13,lunch,16.41,cash,,,,,,,
13,eddieV's ,103.54,cash,,,,,,,
13,EddieV's-tip,40,cash,,,,,,,
13,Cap-one-fee,3,crypto.com,,,,,,,
13,crypto.com-atm-fee,12,crypto.com,,,,,,,
14,smokes,20.84,crypto.com,,,,,,,
14,cigars,36.46,cash,,,,,,,
14,cigars,9.93,cash,,,,,,,
15,River-btc-buy-fee,6.93,River-btc-buy-fee,,,,,,,
15,Gas-west-st-liberty,72.79,crypto.com,,,,,,,
15,ellie,300,cash,,,,,,,
17,Clry-cafe-brkfst,5.93,crypto.com,,,,,,,
18,Glry-cafe-brkfst,6.35,crypto.com,,,,,,,
18,iphn-4-mom,474.5,Gift-card,,,,,,,
18,spa,200,cash,,,,,,,
18,Cap-one-fee,3,crypto.com,,,,,,,
18,crypto.com-atm-fee,6,crypto.com,,,,,,,
18,Eddiev's-dinner,140,cash,,,,,,,
18,EddieV's-tip,60,cash,,,,,,,
19,Cricket,100,Mnt-cc,,,,,,,
19,ezpassmd,100,Mnt-cc,,,,,,,
19,Chesapeak-au-truck,316.49,Mnt-cc,,,,,,,
19,Hair-cut-shave,125,natkita,,,,,,,
19,Cricket,9.99,cash,,,,,,,
19,Chick-fill-a,12.77,cash,,,,,,,
20,food ,52.31,cash,,,,,,,
20,Dominos-pizza,19.07,cash,,,,,,,
20,Liberty-gas-annapolis,90,cash,22.731G @ $3.999 / g,,,,,,
20,mcds,4.99,cash,,,,,,,
20,Md-dmv-collections,242.19,Mnt-cc,,,,,,,
20,Chick-fill-a,12.77,cash,,,,,,,
20,marriott,127.69,Mnt-cc,,,,,,,
20,giant,7.63,cash,,,,,,,
21,dinner,227.95,cash,Wildfire-grille,,,,,,
21,costco,132.44,Crypto-cc,,,,,,,
21,Cap-one-fee,3,Crypto-cc,,,,,,,
21,Crypto-com-fee,12,Crypto-cc,,,,,,,
21,marriott,138.28,Crypto-cc,,,,,,,
22,Home-depot,204.5,cash,,,,,,,
22,smokes,5.63,Crypto-cc,Seven-11,,,,,,
22,gas ,50,cash,10.872G $4.599 / g,,,,,,
23,toll,4.55,Mnt-cc,,,,,,,
23,walmart,28.01,cash,,,,,,,
23,Dicks-sporting-goods,63.3,cash,,,,,,,
23,Chick-fill-a,17.24,cash,,,,,,,
25,breakfast,32.03,Crypto-cc,marriott,,,,,,
25,toll,5.8,Mnt-cc,,,,,,,
25,breakfast,6.35,cash,,,,,,,
25,lunch,16.94,cash,,,,,,,
25,gas ,50,cash,12.318G $4.059 / g,,,,,,
26,toll,5.8,Mnt-cc,,,,,,,
27,toll,5.8,Mnt-cc,,,,,,,
27,lunch,15.35,cash,,,,,,,
27,NeimanMarcus,747.29,Usaa-cc,,,,,,,
27,Maggianos,154.32,cash,,,,,,,
27,Cap-one-fee,2.4,Crypto-cc,,,,,,,
28,Mcds,9.32,cash,,,,,,,
28,Liberty-gas-annapolis,77.23,Mnt-cc,19.313G $3.999 / g ,,,,,,
28,toll,5.25,Mnt-cc,,,,,,,
28,seven11-dulles,3.3,cash,,,,,,,
28,grauls,32.12,cash,,,,,,,
29,Mgm-steak,317.76,Usaa-cc,,,,,,,
29,starbuck,12.77,cash,,,,,,,
29,ellie,180,cash,,,,,,,
29,mcds,8.68,cash,,,,,,,
29,River-btc-buy-fee,9.9,Mnt-bank-tr,,,,,,,
29,denise,100,cash,,,,,,,
0,eom,0,eom spot,,,,,,,
July,,,8861.45,,,,,,,
1,Smokes-exxon,8.64,cash,,,,,,,
1,toll,5.8,Mnt-cc,,,,,,,
1,toll,5.8,Mnt-cc,,,,,,,
1,Title-boxing,100,cash,,,,,,,
1,Title-boxing-wraps,15,cash,,,,,,,
2,toll,5.8,Mnt-cc,,,,,,,
3,toll,5.5,Mn-cc,,,,,,,
3,eddieV's ,80,cash,,,,,,,
3,EddieV's-tip,40,cash,,,,,,,
3,Unchained-wdr-fee,25,Mnt-cc,,,,,,,
4,smokes ,17.54,cash,Seven-11,,,,,,
4,Hair-cut-shave,117,cash,,,,,,,
4,Car-wash,35,cash,,,,,,,
4,mortgage,1853.39,Truist-4000,,,,,,,
4,Truist-heloc,350,Truist-4000,,,,,,,
4,Comcast-clubhouse,95.64,Mnt-check-8126,,,,,,,
4,Car-insurance,301,Mnt-cc,,,,,,,
4,Cap-one-fee,3,Crypto-atm-fee,,,,,,,
4,gas ,70.59,Crypto-cc,,,,,,,
4,toll,5.25,Mnt-cc,,,,,,,
5,toll,5.25,Mnt-cc,,,,,,,
5,toll,5.25,Mnt-cc,,,,,,,
5,lunch,196.11,cash,Harrises-crab-house,,,,,,
5,Lunch-tip,50,cash,Harris-crab-house-tip,,,,,,
5,drinks ,60,cash,Dirty-daves-tiki-bar,,,,,,
5,dinner,62.39,cash,Texas-road-house,,,,,,
5,Dinner-tip,30,cash,Texas-road-house,,,,,,
6,gas ,56.45,Crypto-cc,19.103G @ $2.995 /g,,,,,,
6,toll,5.25,cash,,,,,,,
6,Seven11,3.3,cash,Breakfast-roll,,,,,,
6,costco ,155.76,Crypto-cc,,,,,,,
6,toll,5.25,Crypto-cc,,,,,,,
7,toll,5.8,Crypto-cc,,,,,,,
7,dinner ,96.46,cash ,eddieV's,,,,,,
7,Dinner-tip,20,cash ,EddieV's-tip,,,,,,
8,toll,5.8,Mnt-cc,,,,,,,
8,toll,5.25,Mnt-cc,,,,,,,
9,lunch ,16.73,cash,,,,,,,
9,toll,5.8,Mnt-cc,,,,,,,
9,toll,5.8,Mnt-cc,,,,,,,
10,toll,5.8,Mnt-cc,,,,,,,
10,Gas-n-smokes,55.73,cash,,,,,,,
11,toll,5.8,Mnt-cc,,,,,,,
11,lunch ,43.11,Mnt-cc,fosters,,,,,,
11,dinner ,111.3,cash,eddieV's ,,,,,,
11,Dinner-tip,35,cash ,EddieV's-tip,,,,,,
12,lunch ,3.3,cash,,,,,,,
12,gas ,21.13,Mnt-cc,5.534 G @ $3.819 / g,,,,,,
12,rosario,50,cash ,miscelanious,,,,,,
12,lunch ,100,cash ,Chesapeake-beach-wJoy+,,,,,,
13,snack,13.46,Mnt-cc,,,,,,,
13,breakfast,8.9,cash,,,,,,,
13,Usaa-visa,500,Usaa-bank,,,,,,,
